way_id,name,lat,lon,distance,way_count
908417669,Công viên Long Biên,21.06080238333333,105.90511972222222,40865.3,191
208188482,Công viên Hòa Bình,21.065209452941176,105.7867164,13929.7,148
37933849,Công viên Thống Nhất,21.01300265490196,105.84483732352945,3953.9,115
702651470,Công viên Yên Sở,20.961350797619048,105.8556463904762,7702.5,104
181575389,Công viên Cầu Giấy,21.0283103755102,105.79080706734696,10049.2,90
185540946,Công viên Lê-nin,21.03176421153846,105.83940629615384,5791.0,83
704153590,Vườn hoa Lý Thái Tổ,21.02749301578947,105.85477693157895,4598.4,78
1258166110,Trung tâm sinh thái giáo dục V-Eco,21.01657270857143,105.9299922257143,47497.8,78
497037748,Công viên Thanh Xuân,21.00259107777778,105.79669131111112,8758.2,75
879841441,Vườn hoa Diên Hồng,21.02648841028037,105.85599163364483,4380.0,69
1289605166,Vườn hoa Công đoàn,21.010072763333334,105.82513516333334,5611.4,69
839663173,Vườn Nhật,21.00379860645161,105.75490311935484,13626.1,67
1174290221,Vườn hoa Gia Quất,21.055242896,105.871042048,43948.8,64
770328959,Công viên Thiên Văn Học Dương Nội,20.98062813125,105.7574917125,13232.6,61
208197731,Công viên Nghĩa Đô,21.04105087,105.79649520333334,10324.0,59
1304386629,Khu khảo cổ học 18 Hoàng Diệu,21.03729429756098,105.83846042926828,6476.7,56
569804207,Công viên Yên Hòa,21.019908416666667,105.79815088333332,8590.5,51
1103182086,Công viên Tuổi trẻ Thủ đô,21.0060598245614,105.85685903157896,2466.8,50
889113701,Công viên Mễ Trì,21.00767162083333,105.77176590833334,11774.7,46
770299553,Công viên Yên Sở,20.96824562884615,105.85856826538463,4336.0,44
542382168,Vườn hoa Nguyễn Trãi,20.97272198,105.78158318666668,10885.4,41
1253905584,Khu cảnh quan,21.01879579047619,105.9338443190476,47205.3,37
384671191,Vườn hoa Thạch Bàn,21.02858670344828,105.91102837586207,44882.4,36
1173092164,Vườn hoa Phúc Đồng,21.047363,105.9007863764706,42488.3,35
523643145,Công viên Ngoại giao Đoàn,21.064965666666676,105.79610391333334,12902.8,33
1137325945,Vườn hoa Cự Khối,21.00797597727272,105.91314475909093,47413.4,30
560585059,Công viên Nghĩa trang Mai Dịch,21.040967747368416,105.77094346842104,13050.8,29
124877385,Vườn hoa Pasteur,21.01403798,105.85946966,2904.6,28
1144267188,Vườn hoa Thượng Thanh,21.05701061111111,105.87420358333333,43460.1,28
124877384,Vườn hoa Bãi Sậy,21.035279824,105.83626734,,27
479832644,Viglacera Community Park,21.01752867826087,105.95103578260868,47887.9,25
556174775,Công viên Linh Đàm,20.965343944444445,105.83544499444444,6509.7,24
548084110,Công viên Mai Dịch,21.03845796428572,105.76923610714286,12959.0,24
1187726805,Vườn hoa Kim Quan,21.058231300000003,105.90145965384616,41065.9,24
1250193564,Vườn hoa Đàn Nam,21.01080045,105.84998434166668,3378.3,23
1173092165,Vườn hoa Tân Thụy,21.0450242,105.8972429375,42895.6,23
384671209,Công viên Trung Tâm,21.03762697619048,105.9054089904762,43619.6,23
136176176,Công viên Đền Lừ,20.98463436923077,105.85605304615385,2655.1,22
1159101822,Công viên Khởi nghiệp,21.012231217910447,105.53754030447762,37950.7,22
1307631429,T8 Park,21.014826,105.90542784583334,46487.6,22
28869505,Vườn hoa 19-8,21.023438357142854,105.8570443904762,4034.8,20
840934121,Công viên Thể thao,21.003766992857145,105.74145590714284,15023.6,20
1209822359,Công viên - Bãi xe ngầm Mễ Trì Hạ,21.013987841666665,105.78179173333336,10589.8,19
1210984005,Vườn hoa 1-6,21.01643862,105.82717712000002,5998.2,18
1223169238,Ngoc Trai Lake-San Ho Park,20.99145233846154,105.94992381923076,50619.4,18
38137267,Công viên Indira Gandhi,21.018820259259265,105.81409503703703,7948.4,18
1223490974,Bien Ho Park,21.00005991090909,105.94813316363636,49591.3,17
704250698,Công viên Bồ Đề Xanh,21.039661546153848,105.87775154615385,43994.4,17
840934114,Công viên Trung tâm,20.99988390666667,105.74139694,15549.7,17
702241252,Vườn Giám,21.02884372142857,105.83543411428572,6124.5,17
1173092162,Vườn hoa ô quy hoạch C12/CX3,21.0499957,105.89762726363638,42099.8,16
1190841554,Vườn hoa Mai Phúc,21.04475658181818,105.90268301818182,42806.3,15
1253839879,Công viên hồ Cần,20.99684276,105.87522474,1292.6,15
548066437,Công Viên A Khu Chung Cư Vân Canh,21.04115715,105.73281586666668,16869.5,15
1162837200,Vườn hoa Nguyễn Đình Thi,21.043320878571425,105.82528165714284,8520.3,14
977375279,Vườn hoa Đào Duy Anh,21.009056294117645,105.83823912352942,4251.3,13
1111949860,Vườn hoa Lê Trực,21.032683966666667,105.83319075833332,6431.7,13
548258526,Công Viên C Khu Chung Cư Vân Canh,21.036898325,105.7363939625,16014.8,13
770328956,Công viên Hà Cầu,20.959343215384617,105.77944413076922,13435.8,12
839899602,Vườn hoa Kim Liên,21.008118366666665,105.83922872222222,4090.2,12
704147262,Vườn hoa Cổ Tân,21.02498673,105.857795165,4186.7,12
589969496,khu vui chơi giải trí công cộng,21.00386042666667,105.93513430666668,48586.7,12
1193781063,Công viên Thành cổ Sơn Tây,21.13996262857143,105.50538265,46214.1,12
548066438,Công Viên B Khu Chung Cư Vân Canh,21.0377933,105.73249953999998,16555.2,11
1290167945,Vườn hoa Hoàng Văn Thụ,21.038667566666668,105.83948672857144,6532.2,11
1108445943,Vườn hoa Yersin,21.013458691666667,105.86062623333332,2852.0,11
218414273,Vườn hoa Hàng Trống,21.02730482222222,105.84955623333332,4911.5,10
1119231771,Vườn Long Viên,21.0087002875,105.9471732625,48531.5,10
770299546,Công viên Trung Yên,21.0152867,105.7993348125,8309.5,10
770272739,Công viên Bán đảo Linh Đàm,20.96375815,105.82851793571427,7378.5,10
770328955,Công viên Văn Phú,20.956018504166664,105.76640489166664,13732.7,10
770299541,Văn Quán Lake Park,20.976971911764707,105.79143401470589,10083.9,10
217341345,Công viên Bắc Linh Đàm,20.967163396153847,105.82774067692309,6798.2,9
916528084,Vườn hoa Thuỷ lợi,21.00776881538462,105.82405473846153,5661.6,9
1218848971,Ánh Dương Garden,21.06803564444444,105.88670596666664,41202.2,9
1119231770,Vườn Lam Viên,21.00773536666667,105.94643524444444,48511.4,9
1149372974,Hai Au Park,20.988563642857144,105.95367728571428,51408.9,8
770299552,Công viên KĐT Vĩnh Hoàng,20.984438879166667,105.86806205833334,2659.8,8
675949349,Núi chùa,20.948088233333333,105.87050096666668,7615.2,8
770328960,Công viên Âm nhạc Đô Nghĩa,20.96004808181818,105.73652903636363,16438.3,8
178995315,Hồ Văn,21.026684042307693,105.8352398307692,6088.5,8
500736455,Phim trường Smiley Ville,21.095187314285717,105.87407961428572,29573.2,7
770299549,Vườn hoa Cửa Nam,21.028128063636363,105.84327540909092,5213.1,6
755359595,Công viên KĐT Định Công,20.987075588888885,105.83138311111112,5154.5,6
1223384698,Tonkin's park,20.99740016,105.73880676,15914.9,6
548076504,Làng Văn Hóa Công Viên Yên Sở,20.9556808,105.85432570909092,6809.1,6
316518839,Vườn hoa Bác Cổ,21.025296288,105.859409108,4030.7,6
750651737,Vườn hoa Trần Quang Diệu,21.01415045882353,105.82464777058824,6316.1,6
1087731715,Vườn hoa Tao Đàn,21.0214688625,105.85776813125,3766.5,6
1217933369,Công viên Lâm Hạ,21.04063790344828,105.88167576206898,43880.8,5
497328755,Giếng Trọng Thủy,21.111631477777777,105.87115048888889,28735.8,5
570596477,Vườn hoa hồ Giảng Võ,21.02913895185185,105.82023352592591,7756.4,5
550543433,Công viên Nam An Khánh,20.99900408225807,105.71330477903226,18633.5,5
704134606,Vườn hoa Quán Sứ,21.02622697857143,105.84538764285716,4865.3,5
590074862,khu vui chơi giải trí công cộng,21.004170660000003,105.93412548,48455.6,5
1112643378,Vườn hoa Hoàng Cầu,21.016813483333333,105.821118475,6658.8,5
795142588,Vườn hoa,20.98057465,105.73914505,15789.8,5
770299548,Vườn Keangnam,21.017415908333334,105.78453774166668,10139.1,4
770299545,Vườn hoa Trung Hòa - Nhân Chính,21.00489559,105.80188406,7871.7,4
548086177,Đài tưởng niệm Liệt sĩ Vân Canh,21.036394460000004,105.72966284000002,16650.9,3
1188004485,Dự án cải tạo hồ Đầu Băng,21.027135038888886,105.88844987777776,45967.3,3
1292544276,Công viên Ba Mẫu,21.012825010000004,105.84011075333336,4622.1,3
1118308342,Vườn hoa Nghĩa Tân,21.04294007142857,105.79296134285714,10895.8,3
542382170,Vườn hoa Hà Đông,20.97315508333333,105.77947226666667,11570.6,3
316013428,Pineapple Park,21.0777915,105.79657029999998,13813.9,3
770299542,Vườn hoa Việt Kiều,20.984239421052628,105.7851207263158,10484.7,3
770328958,Công viên tổ 9 Mỗ Lao,20.97858252,105.78228738,11071.0,3
770328953,Công viên Bê Tông,20.87943293333333,105.5748132,41548.7,3
650430490,Khu vui chơi trẻ em,20.971733328571425,105.8772595857143,4735.0,3
650430788,Công viên,20.973618277777778,105.87888612222224,4440.2,3
1107407506,Vườn hoa,20.975328821739133,105.74171873043478,15464.6,3
1108118623,Vườn hoa Tăng Bạt Hổ,21.01843685625,105.858605975,3464.0,3
28869503,Vườn hoa Vạn Xuân,21.040095800000003,105.8464381375,6373.1,2
770299543,Vườn Trung Văn,20.99157831428571,105.78902822857144,9500.3,2
911561441,Vườn hoa Lạc Long Quân,21.06917576,105.81198795999998,12130.2,2
548079302,1,21.03474598333333,105.7396775,15564.5,2
479019015,An Duong Tennis Courts,21.054992116666668,105.84025266666669,8115.1,2
316013412,Pomelo Park,21.07672406,105.79930242,13813.2,2
1122937024,Đài tưởng niệm Liệt sĩ Phường Mai Dịch,21.03608506666667,105.7794161,11477.6,2
839675222,Công viên Con Voi,21.010257322222223,105.83333181111112,5003.3,2
1257492050,Sân betong bóng rổ + đá bóng mini,20.96208212608696,105.80191912608694,10291.2,2
795142945,Vườn hoa,20.98236004,105.73977458,15802.5,2
786580801,Vườn hoa,20.97163428,105.78143751333332,11269.7,2
704159177,Vườn hoa Ngọc Lâm,21.04877477333333,105.87601246,43230.8,2
769918656,Công viên Hoàng Văn Thụ,20.98631118571428,105.85092224285712,2892.9,2
770299544,Vườn hoa Biệt thự Quốc Hội,20.993494014285712,105.79401307142858,8889.6,2
591023030,Vườn hoa Thanh Xuân Bắc,20.99132,105.7996799,8030.6,2
661165879,Công viên Hồ Mễ Trì,20.9973613125,105.791116675,9160.5,2
704252312,Công viên Gia Thuỵ,21.048535966666662,105.88531773333334,42695.6,2
782864077,Vườn hoa Văn Quán,20.97549787142857,105.79051495714285,10260.2,2
548076505,Vườn Tre,20.964756892307687,105.85041355384617,8057.8,1
569804205,Sân Cây Đề,21.0174668,105.77926415000002,10890.5,1
650430536,Công viên nội bộ,20.97232946,105.87870977999998,4557.0,1
704292580,Vườn hoa Gia Quất,21.053099222222222,105.87893167777776,42862.1,1
701544807,nhà văn hóa tổ 16,21.05618262,105.86936224000002,43927.1,1
770299547,Vườn hoa Yên Hòa,21.02039089090909,105.79573861818182,8895.7,1
661138331,Công viên Xuân Dục,21.09224688,105.90607152,35627.4,1
1044485137,Vườn hoa,20.978008116666665,105.73978266666666,15835.1,1
1002534081,Vườn hoa,20.985802966666668,105.78269291666668,10327.5,1
898540569,Jump Arena Tăng Bạt Hổ,21.015921742857135,105.85909705714286,3129.9,1
932101144,Vườn hoa Giang Biên,21.06359403333333,105.91542976666666,40629.0,1
892583617,Vườn hoa,20.96153126,105.74746028,15076.5,1
770299554,Vườn hoa Bắc Long Biên,21.046527542307693,105.86565496538462,44726.7,1
770336406,Vườn hoa Đại học Kinh tế Quốc dân,20.99949598,105.8443164,3536.3,1
795140970,Vườn hoa,20.97583255,105.741385375,15440.5,1
642231203,Vườn hoa Tây Sơn,21.02662875,105.850316725,4756.4,1
699218421,Công viên OCT1,21.065463616666666,105.78233369166666,13839.8,1
942762464,Vườn hoa Phùng Hưng,21.03396987142857,105.8456958285714,5803.5,1
962108578,Vườn hoa Phụ nữ tự quản,20.9787017,105.79504824,9760.3,1
959984228,Vườn hoa Nông dân,21.0957093,105.91619178,35503.9,1
959988676,Vườn đình Lã Côi,21.09808728181818,105.9235372363636,35660.8,1
965856881,Trung Kinh Hạ Playgroung,21.01264022,105.79526874,8675.3,1
960170470,Khu vui chơi,21.09598734,105.9213172,35577.8,1
1215489700,Vườn hoa Trạm,21.0260725,105.89278364,46611.8,1
1292544286,Vườn hoa Hàng Vôi,21.029242185714285,105.85673135714286,4545.4,1
1002535124,Vườn hoa,20.98486076,105.7878128,10068.9,1
1044483277,Vườn hoa,20.979819650000003,105.73910835,15859.4,1
1106866558,Vườn hoa,20.98378078,105.78731280000002,10199.8,1
961664400,Vườn hoa Chợ Phúc Đồng,21.03958792,105.90327838,43413.8,1
1119231769,Vườn An Viên,21.00688656,105.94568188,48626.2,1
1044485853,Vườn hoa,20.9854659625,105.740693025,15423.0,1
921987264,Vườn hoa Sơn Tây,21.14140388888889,105.50512712222222,46097.9,0
892583620,Quảng trường,20.96099718,105.74706164,15356.7,0
1044486077,Vườn hoa,20.98518196666667,105.73862538333331,15576.9,0
1107405638,Vườn hoa,20.9770541875,105.74225825,15271.3,0
959985390,Vườn hoa Thị trấn Yên Viên,21.09035276,105.92253639999998,36174.5,0
1044480535,Vườn hoa,20.978030342857146,105.74243271428573,15340.0,0
1044483520,Vườn hoa,20.9791715,105.73925226,15843.0,0
1044484317,Vườn hoa,20.97844375,105.739407725,15831.3,0
